SEGID,LANGPAIR,ANNOTYPE,NUMANNOT,ANNOTATOR_01,ANNOTATOR_02,ANNOTATOR_03,ANNOTATOR_04,ANNOTATOR_05,ANNOTATOR_06,ANNOTATOR_07,ANNOTATOR_08,ANNOTATOR_09,ANNOTATOR_10
50,fa-en,ad,7,-0.11681583083946746,-2.0215914378847235,-2.168138589587712,-1.0171511025521598,nan,-1.8195392929944372,-1.7240184788053416,nan,-1.416029541519926,nan
51,fa-en,ad,7,-0.9466849005456962,-2.2784706675849127,0.1730819550354252,-0.7477930588190154,nan,-1.1938541044103825,-1.8009791080631934,nan,-1.0133282880283798,nan
52,fa-en,ad,7,0.6300663318961384,0.8682998962424022,0.6631048597239887,0.9132482108687091,nan,1.1003249203978176,0.9696035452194632,nan,0.8995026660564651,nan
53,fa-en,ad,7,-0.9051914470603848,-1.5078329784843458,-1.514774716669627,-1.690546211885021,nan,-1.4371761221930706,-0.4926484106797166,nan,0.09410015907337249,nan
54,fa-en,ad,7,2.1653241108526617,0.8682998962424022,1.3164687326420734,0.8683552035798517,nan,1.0308043438884782,1.200485432993018,nan,1.5035545462937845,nan
55,fa-en,ad,7,0.46409251795489265,0.8682998962424022,1.3164687326420734,0.9132482108687091,nan,1.1003249203978176,1.200485432993018,nan,1.4532168896073412,nan
56,fa-en,ad,7,0.13214489007240116,-1.5078329784843458,-0.6436228861121808,-0.34375599321929856,nan,-1.854299581249107,-1.5700972202896386,nan,-0.8623153179690499,nan
57,fa-en,ad,7,0.5055859714402041,0.8682998962424022,-0.6436228861121808,0.7336761817132794,nan,0.6484411730871115,0.9696035452194632,nan,0.4968014125649188,nan
58,fa-en,ad,7,0.5470794249255155,0.09766220714183528,-0.5891758967023404,0.7785691890021369,nan,0.5789205965777721,0.469359455043428,nan,-0.2582634377317305,nan
59,fa-en,ad,7,-0.6977241796338276,0.09766220714183528,-0.04470600260393639,0.6438901671355646,nan,0.26607800228574474,0.6617610281880569,nan,-0.5099517211639469,nan
60,fa-en,ad,7,0.09065143658708973,0.8682998962424022,1.3164687326420734,0.7785691890021369,nan,1.0655646321431478,0.8541626013326858,nan,0.7484896959971352,nan
61,fa-en,ad,7,0.1736383435577126,0.8682998962424022,0.009740986805904005,0.8234621962909943,nan,0.9612837673791388,0.5463200843012797,nan,0.7484896959971352,nan
62,fa-en,ad,7,-0.5317503656925818,-1.8610419193221057,0.3364229232649464,-1.4211881681518765,nan,-1.159093816155713,-1.3392153325160838,nan,-1.1140036014012664,nan
63,fa-en,ad,7,0.42259906446958123,0.8682998962424022,0.11863496562558479,0.6438901671355646,nan,0.9960440556338085,0.9311232305905375,nan,0.9498403227429083,nan
64,fa-en,ad,7,-0.07532237735415602,-1.5078329784843458,0.1730819550354252,-0.1641839640638689,nan,0.23131771403107507,-0.4541680960507908,nan,-0.45961406447750364,nan
65,fa-en,ad,7,-0.07532237735415602,0.5793107628296896,0.8808928173633503,0.7785691890021369,nan,0.7874823261057903,0.8926429159616117,nan,0.39612609919203223,nan
66,fa-en,ad,7,0.5470794249255155,0.8682998962424022,1.0442337855928716,-0.4335420077970134,nan,1.1003249203978176,1.200485432993018,nan,0.4464637558784755,nan
